"","Item_Identifier","Outlet_Identifier","Sale_preds_reg"
"1","FDW58","OUT049",1836.81549166193
"2","FDW14","OUT017",1706.61033711935
"3","NCN55","OUT010",2053.04289303689
"4","FDQ58","OUT017",2753.55780648367
"5","FDY38","OUT027",5138.99895483771
"6","FDH56","OUT046",1958.08385456084
"7","FDL48","OUT018",596.98684498743
"8","FDC48","OUT027",2783.38102167574
"9","FDN33","OUT045",1668.42381576025
"10","FDA36","OUT017",3264.19715784661
"11","FDT44","OUT017",2191.98556527721
"12","FDQ56","OUT045",1508.89444655021
"13","NCC54","OUT019",1868.38634736743
"14","FDU11","OUT049",2059.35332703607
"15","DRL59","OUT013",909.834765555969
"16","FDM24","OUT049",2559.31841005838
"17","FDI57","OUT045",3435.92470166707
"18","DRC12","OUT018",2750.19888213621
"19","NCM42","OUT027",3185.84712499401
"20","FDA46","OUT010",1286.60632007815
"21","FDA31","OUT013",2831.77637853697
"22","NCJ31","OUT035",3874.74421851536
"23","FDG52","OUT046",773.066998911921
"24","NCL19","OUT019",375.083937378513
"25","FDS10","OUT035",3009.23315179857
"26","FDX22","OUT010",1628.80739778362
"27","NCF19","OUT035",912.31573547834
"28","NCE06","OUT046",2526.21309659076
"29","DRC27","OUT046",3826.59689735013
"30","FDE21","OUT035",2058.37584369884
"31","NCR42","OUT019",-1370.73698263207
"32","FDX51","OUT018",2873.39844558086
"33","NCR06","OUT018",419.879445484684
"34","FDU31","OUT027",4982.5337033646
"35","FDU59","OUT017",2888.60841665215
"36","FDR03","OUT027",4759.44188815879
"37","FDS49","OUT027",2778.53052989785
"38","FDD48","OUT010",103.898320404187
"39","NCF18","OUT017",3274.81840983459
"40","NCD43","OUT027",3091.62715850994
"41","NCD54","OUT018",1980.09176461949
"42","FDY19","OUT010",164.243837620275
"43","NCY54","OUT017",2969.12286130343
"44","NCL19","OUT018",2027.58283473336
"45","FDP23","OUT010",1713.61780221073
"46","FDC26","OUT013",1842.96647800405
"47","FDR14","OUT010",-917.478049530945
"48","NCS41","OUT035",3046.63474615386
"49","FDF41","OUT035",4016.04509503459
"50","FDU34","OUT046",1985.2864672184
"51","DRH11","OUT046",946.245094219316
"52","FDM03","OUT013",1730.69045131618
"53","FDS31","OUT017",3232.12601908659
"54","FDJ20","OUT017",2297.6196843088
"55","FDV44","OUT027",4526.17862762982
"56","FDG02","OUT049",3138.59579308544
"57","FDA09","OUT013",2938.40835108016
"58","FDT04","OUT013",643.645717978942
"59","FDL58","OUT019",2280.69756457601
"60","FDE52","OUT045",1577.67824452346
"61","FDW12","OUT035",2511.95357242999
"62","FDL51","OUT017",3684.43440505395
"63","NCY42","OUT027",3682.5207474752
"64","FDR07","OUT017",1862.17894749513
"65","FDN40","OUT045",2505.06528071357
"66","FDB35","OUT027",2982.7834919387
"67","FDA22","OUT017",2935.68417192585
"68","NCL06","OUT046",4102.24572575928
"69","FDI35","OUT013",2941.28768493404
"70","NCW42","OUT045",3568.84838877317
"71","NCX06","OUT049",2931.96260780127
"72","FDC37","OUT027",3200.49927072169
"73","FDZ14","OUT018",1696.84972766777
"74","DRG49","OUT049",3946.04714512451
"75","NCG06","OUT045",4117.46310380071
"76","DRC36","OUT045",2885.27024412612
"77","FDV21","OUT019",30.3138799714814
"78","FDB53","OUT046",2320.93185008418
"79","DRP47","OUT019",2042.76504043047
