"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB","Sale_preds_reg"
"1","FDW58",20.75,"Low Fat",0.007564836,"Snack Foods",107.8622,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1836.81549166193
"2","FDW14",8.3,"Regular",0.038427677,"Dairy",87.3198,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1706.61033711935
"3","NCN55",14.6,"Low Fat",0.099574908,"Others",241.7538,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,2053.04289303689
"4","FDQ58",7.315,"Low Fat",0.015388393,"Snack Foods",155.034,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2753.55780648367
"5","FDY38",12.5,"Regular",0.118599314,"Dairy",234.23,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5138.99895483771
"6","FDH56",9.8,"Regular",0.063817206,"Fruits and Vegetables",117.1492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1958.08385456084
"7","FDL48",19.35,"Regular",0.082601537,"Baking Goods",50.1034,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,596.98684498743
"8","FDC48",12.5,"Low Fat",0.015782495,"Baking Goods",81.0592,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2783.38102167574
"9","FDN33",6.305,"Regular",0.123365446,"Snack Foods",95.7436,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1668.42381576025
"10","FDA36",5.985,"Low Fat",0.005698435,"Baking Goods",186.8924,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3264.19715784661
"11","FDT44",16.6,"Low Fat",0.103569075,"Fruits and Vegetables",118.3466,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2191.98556527721
"12","FDQ56",6.59,"Low Fat",0.10581147,"Fruits and Vegetables",85.3908,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1508.89444655021
"13","NCC54",12.5,"Low Fat",0.171079215,"Health and Hygiene",240.4196,"OUT019",1985,"Small","Tier 1","Grocery Store",34,1868.38634736743
"14","FDU11",4.785,"Low Fat",0.092737611,"Breads",122.3098,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2059.35332703607
"15","DRL59",16.75,"Low Fat",0.021206464,"Hard Drinks",52.0298,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,909.834765555969
"16","FDM24",6.135,"Regular",0.0794507,"Baking Goods",151.6366,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2559.31841005838
"17","FDI57",19.85,"Low Fat",0.05413521,"Seafood",198.7768,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3435.92470166707
"18","DRC12",17.85,"Low Fat",0.037980963,"Soft Drinks",192.2188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2750.19888213621
"19","NCM42",12.5,"Low Fat",0.028184344,"Household",109.6912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3185.84712499401
"20","FDA46",13.6,"Low Fat",0.196897637,"Snack Foods",193.7136,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1286.60632007815
"21","FDA31",7.1,"Low Fat",0.109920138,"Fruits and Vegetables",175.008,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2831.77637853697
"22","NCJ31",19.2,"Low Fat",0.182619235,"Others",239.9196,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3874.74421851536
"23","FDG52",13.65,"Low Fat",0.065630844,"Frozen Foods",47.7402,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,773.066998911921
"24","NCL19",12.5,"Low Fat",0.027447057,"Others",142.347,"OUT019",1985,"Small","Tier 1","Grocery Store",34,375.083937378513
"25","FDS10",19.2,"Low Fat",0.035178935,"Snack Foods",180.7318,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3009.23315179857
"26","FDX22",6.785,"Regular",0.038455125,"Snack Foods",209.4928,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1628.80739778362
"27","NCF19",13,"Low Fat",0.035102094,"Household",47.6034,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,912.31573547834
"28","NCE06",5.825,"Low Fat",0.091485232,"Household",161.3894,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2526.21309659076
"29","DRC27",13.8,"Low Fat",0.058102469,"Dairy",244.6802,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3826.59689735013
"30","FDE21",12.8,"Low Fat",0.022940349,"Fruits and Vegetables",116.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2058.37584369884
"31","NCR42",12.5,"Low Fat",0.06737681,"Household",32.09,"OUT019",1985,"Small","Tier 1","Grocery Store",34,-1370.73698263207
"32","FDX51",9.5,"Regular",0.022148582,"Meat",194.9452,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2873.39844558086
"33","NCR06",12.5,"Low Fat",0.006792707,"Household",42.4112,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,419.879445484684
"34","FDU31",12.5,"Regular",0.024870035,"Fruits and Vegetables",217.7508,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4982.5337033646
"35","FDU59",5.78,"Low Fat",0.096931426,"Breads",164.2552,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2888.60841665215
"36","FDR03",12.5,"Regular",0.008693632,"Meat",205.098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4759.44188815879
"37","FDS49",12.5,"Low Fat",0.078961284,"Canned",80.3644,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2778.53052989785
"38","FDD48",10.395,"Low Fat",0.050479463,"Baking Goods",114.0176,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,103.898320404187
"39","NCF18",18.35,"Low Fat",0.089485918,"Household",192.1504,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3274.81840983459
"40","NCD43",12.5,"Low Fat",0.01594238,"Household",103.3964,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3091.62715850994
"41","NCD54",21.1,"Low Fat",0.029127115,"Household",143.3786,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1980.09176461949
"42","FDY19",19.75,"Low Fat",0.069236421,"Fruits and Vegetables",116.6466,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,164.243837620275
"43","NCY54",8.43,"Low Fat",0.178699961,"Household",173.9422,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2969.12286130343
"44","NCL19",15.35,"Low Fat",0.015740089,"Others",144.847,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2027.58283473336
"45","FDP23",6.71,"Low Fat",0.059565107,"Breads",217.2166,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1713.61780221073
"46","FDC26",10.195,"Low Fat",0.126277921,"Canned",112.1886,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1842.96647800405
"47","FDR14",11.65,"Low Fat",0.291322397,"Dairy",55.8298,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-917.478049530945
"48","NCS41",12.85,"Low Fat",0.053433908,"Health and Hygiene",183.2608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3046.63474615386
"49","FDF41",12.15,"Low Fat",0.131155007,"Frozen Foods",248.146,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,4016.04509503459
"50","FDU34",18.25,"Low Fat",0.075194929,"Snack Foods",124.9046,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1985.2864672184
"51","DRH11",5.98,"Low Fat",0.075557965,"Hard Drinks",57.0614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,946.245094219316
"52","FDM03",12.65,"Low Fat",0.122928415,"Meat",106.6938,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1730.69045131618
"53","FDS31",13.1,"Regular",0.044442342,"Fruits and Vegetables",181.0318,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3232.12601908659
"54","FDJ20",20.7,"Regular",0.100741569,"Fruits and Vegetables",122.3388,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2297.6196843088
"55","FDV44",12.5,"Regular",0.039651481,"Fruits and Vegetables",188.7188,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4526.17862762982
"56","FDG02",7.855,"Low Fat",0.011278673,"Canned",188.8188,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3138.59579308544
"57","FDA09",13.35,"Regular",0,"Snack Foods",179.666,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2938.40835108016
"58","FDT04",17.25,"Low Fat",0.106952661,"Frozen Foods",38.3822,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,643.645717978942
"59","FDL58",12.5,"Regular",0.129825457,"Snack Foods",263.2568,"OUT019",1985,"Small","Tier 1","Grocery Store",34,2280.69756457601
"60","FDE52",10.395,"Regular",0.029947409,"Dairy",90.1514,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1577.67824452346
"61","FDW12",8.315,"Regular",0.035565457,"Baking Goods",144.8444,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2511.95357242999
"62","FDL51",20.7,"Regular",0.047760002,"Dairy",214.9876,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3684.43440505395
"63","NCY42",12.5,"Low Fat",0.015089147,"Household",141.347,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3682.5207474752
"64","FDR07",21.35,"Low Fat",0.07818366,"Fruits and Vegetables",96.8094,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1862.17894749513
"65","FDN40",5.88,"Low Fat",0.086632125,"Frozen Foods",152.6998,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2505.06528071357
"66","FDB35",12.5,"Regular",0.064306056,"Starchy Foods",90.3804,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2982.7834919387
"67","FDA22",7.435,"Low Fat",0.08493006,"Starchy Foods",165.8158,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2935.68417192585
"68","NCL06",14.65,"Low Fat",0.072066634,"Household",262.5594,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,4102.24572575928
"69","FDI35",14,"Low Fat",0.041256807,"Starchy Foods",181.2634,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2941.28768493404
"70","NCW42",18.2,"Low Fat",0.058587558,"Household",221.6456,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3568.84838877317
"71","NCX06",17.6,"Low Fat",0.015711434,"Household",180.0976,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2931.96260780127
"72","FDC37",12.5,"Low Fat",0.032714163,"Baking Goods",108.1938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3200.49927072169
"73","FDZ14",7.71,"Regular",0.047782552,"Dairy",122.3756,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1696.84972766777
"74","DRG49",7.81,"Low Fat",0.067560171,"Soft Drinks",245.2486,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3946.04714512451
"75","NCG06",16.35,"Low Fat",0.029505077,"Household",256.2646,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,4117.46310380071
"76","DRC36",13,"Regular",0.045076104,"Soft Drinks",173.7054,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2885.27024412612
"77","FDV21",12.5,"Low Fat",0.299544153,"Snack Foods",124.8704,"OUT019",1985,"Small","Tier 1","Grocery Store",34,30.3138799714814
"78","FDB53",13.35,"Low Fat",0.139452413,"Frozen Foods",148.6392,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2320.93185008418
"79","DRP47",12.5,"Low Fat",0.246178257,"Hard Drinks",252.4382,"OUT019",1985,"Small","Tier 1","Grocery Store",34,2042.76504043047
"80","FDA14",16.1,"Low Fat",0.065128984,"Dairy",145.176,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2305.36470143655
"81","DRC24",17.85,"Low Fat",0.024816585,"Soft Drinks",152.6998,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2559.73268229389
"82","FDW21",5.34,"Regular",0.005988175,"Snack Foods",100.6358,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1402.74481120333
"83","NCH29",5.51,"Low Fat",0.034473804,"Health and Hygiene",97.3726,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1576.10968736968
"84","FDU58",6.61,"Regular",0.028987582,"Snack Foods",188.6898,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3073.3649768525
"85","FDY27",6.38,"Low Fat",0.032078604,"Dairy",177.6344,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3070.40320172735
"86","FDV56",16.1,"Regular",0.013593151,"Fruits and Vegetables",108.9596,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1986.15827742983
"87","FDT59",13.65,"Low Fat",0.015911432,"Breads",230.5668,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3665.91485281493
"88","FDB23",19.2,"Regular",0.005588601,"Starchy Foods",225.5062,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3652.17020607836
"89","FDR49",8.71,"Low Fat",0.139510771,"Canned",46.2376,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,883.588432253484
